scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
67451	37:28.37	attack	blue	(left)	either
67487	37:29.57	blue	lateral	display	(left)	either
67613	37:33.77	attack	blue	(left)	either
67643	37:34.77	blue	lateral	display	(left)	either
67743	37:38.10	blue	lateral	display	(left)	either
67775	37:39.17	attack	blue	(left)	either
67829	37:40.97	blue	lateral	display	(left)	either
68233	37:54.43	quiver	at	female	either
68653	38:08.43	attack	blue	(left)	either
68693	38:09.77	blue	lateral	display	(left)	either
68775	38:12.50	attack	blue	(left)	either
68795	38:13.17	blue	lateral	display	(left)	either
68863	38:15.43	blue	lateral	display	(left)	either
68899	38:16.63	attack	blue	(left)	either
68925	38:17.50	blue	lateral	display	(left)	either
69179	38:25.97	chase	female	either
69489	38:36.30	blue	lateral	display	(left)	either
69797	38:46.57	quiver	at	female	either
70381	39:06.03	chase	female	either
70431	39:07.70	attack	yellow	(right)	either
70603	39:13.43	chase	female	either
71089	39:29.63	blue	lateral	display	(left)	either
71395	39:39.83	quiver	at	female	either
71681	39:49.37	blue	lateral	display	(left)	either
71811	39:53.70	pot	entry	either
71843	39:54.77	pot	exit	either
71877	39:55.90	attack	female	either
72607	40:20.23	attack	blue	(left)	either
72637	40:21.23	blue	lateral	display	(left)	either
72777	40:25.90	quiver	at	female	either
73431	40:47.70	attack	female	either
73871	41:02.37	pot	entry	either
74115	41:10.50	pot	exit	either
74261	41:15.37	blue	lateral	display	(left)	either
74391	41:19.70	blue	lateral	display	(left)	either
74493	41:23.10	blue	lateral	display	(left)	either
74531	41:24.37	attack	blue	(left)	either
74585	41:26.17	blue	lateral	display	(left)	either
74649	41:28.30	attack	blue	(left)	either
74681	41:29.37	blue	lateral	display	(left)	either
74749	41:31.63	attack	blue	(left)	either
74815	41:33.83	attack	blue	(left)	either
74865	41:35.50	blue	lateral	display	(left)	either
74943	41:38.10	attack	blue	(left)	either
74987	41:39.57	blue	lateral	display	(left)	either
75107	41:43.57	attack	female	either
75181	41:46.03	blue	lateral	display	(left)	either
75215	41:47.17	attack	blue	(left)	either
75245	41:48.17	blue	lateral	display	(left)	either
75307	41:50.23	attack	blue	(left)	either
75341	41:51.37	blue	lateral	display	(left)	either
75443	41:54.77	attack	female	either
75621	42:00.70	quiver	at	female	either
75747	42:04.90	lead	swim	either
75843	42:08.10	lead	swim	either
75903	42:10.10	attack	female	either
76157	42:18.57	pot	entry	either
76269	42:22.30	pot	exit	either
76325	42:24.17	attack	female	either
76433	42:27.77	lead	swim	either
76529	42:30.97	quiver	at	female	either
76587	42:32.90	quiver	at	female	either
76723	42:37.43	attack	female	either
76923	42:44.10	blue	lateral	display	(left)	either
77035	42:47.83	attack	blue	(left)	either
77097	42:49.90	blue	lateral	display	(left)	either
77193	42:53.10	blue	lateral	display	(left)	either
77255	42:55.17	attack	blue	(left)	either
77271	42:55.70	blue	lateral	display	(left)	either
77339	42:57.97	blue	lateral	display	(left)	either
77379	42:59.30	attack	blue	(left)	either
77415	43:00.50	blue	lateral	display	(left)	either
77497	43:03.23	lead	swim	either
77627	43:07.57	attack	female	either
77665	43:08.83	attack	female	either
77789	43:12.97	attack	female	either
78415	43:33.83	attack	yellow	(right)	either
78499	43:36.63	attack	blue	(left)	either
78539	43:37.97	blue	lateral	display	(left)	either
78701	43:43.37	blue	lateral	display	(left)	either
78793	43:46.43	blue	lateral	display	(left)	either
78803	43:46.77	attack	blue	(left)	either
78839	43:47.97	attack	blue	(left)	either
78943	43:51.43	attack	blue	(left)	either
78965	43:52.17	blue	lateral	display	(left)	either
79023	43:54.10	attack	blue	(left)	either
79059	43:55.30	blue	lateral	display	(left)	either
79133	43:57.77	attack	blue	(left)	either
79257	44:01.90	attack	blue	(left)	either
79273	44:02.43	blue	lateral	display	(left)	either
79331	44:04.37	blue	lateral	display	(left)	either
79365	44:05.50	attack	blue	(left)	either
79413	44:07.10	blue	lateral	display	(left)	either
79929	44:24.30	blue	lateral	display	(left)	either
80099	44:29.97	blue	lateral	display	(left)	either
80157	44:31.90	attack	female	either
80297	44:36.57	attack	female	either
80393	44:39.77	quiver	at	female	either
81473	45:15.77	attack	yellow	(right)	either
81647	45:21.57	pot	entry	either
81751	45:25.03	dig	either
81833	45:27.77	pot	exit	either
82021	45:34.03	attack	female	either
