scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
57847	32:08.2	attack	female	either				
57925	32:10.8	blue	lateral	display	(left)	either		
58059	32:15.3	chase	female	either				
58157	32:18.6	attack	blue	(left)	either			
58199	32:20.0	blue	lateral	display	(left)	either		
58273	32:22.4	attack	blue	(left)	either			
58323	32:24.1	blue	lateral	display	(left)	either		
58397	32:26.6	attack	blue	(left)	either			
58615	32:33.8	attack	blue	(left)	either			
58669	32:35.6	blue	lateral	display	(left)	either		
58743	32:38.1	attack	female	either				
58775	32:39.2	quiver	at	female	either			
58787	32:39.6	quiver	at	female	either			
58863	32:42.1	attack	blue	(left)	either			
58897	32:43.2	blue	lateral	display	(left)	either		
59091	32:49.7	attack	blue	(left)	either			
59143	32:51.4	blue	lateral	display	(left)	either		
59243	32:54.8	attack	blue	(left)	either			
59315	32:57.2	attack	blue	(left)	either			
59421	33:00.7	attack	blue	(left)	either			
59659	33:08.6	blue	lateral	display	(left)	either		
59751	33:11.7	attack	blue	(left)	either			
59823	33:14.1	attack	blue	(left)	either			
59935	33:17.8	lead	swim	either				
59997	33:19.9	lead	swim	either				
60119	33:24.0	lead	swim	either				
60145	33:24.8	attack	female	either				
60181	33:26.0	attack	blue	(left)	either			
60271	33:29.0	attack	blue	(left)	either			
60343	33:31.4	attack	blue	(left)	either			
60413	33:33.8	attack	blue	(left)	either			
60519	33:37.3	attack	blue	(left)	either			
60639	33:41.3	attack	blue	(left)	either			
60789	33:46.3	blue	lateral	display	(left)	either		
60919	33:50.6	lead	swim	either				
60949	33:51.6	quiver	at	female	either			
61017	33:53.9	lead	swim	either				
61077	33:55.9	quiver	at	female	either			
61145	33:58.2	lead	swim	either				
61221	34:00.7	lead	swim	either				
61311	34:03.7	quiver	at	female	either			
61389	34:06.3	lead	swim	either				
61575	34:12.5	blue	lateral	display	(left)	either		
61611	34:13.7	attack	blue	(left)	either			
61699	34:16.6	lead	swim	either				
61823	34:20.8	attack	female	either				
61975	34:25.8	attack	blue	(left)	either			
62035	34:27.8	blue	lateral	display	(left)	either		
62149	34:31.6	lead	swim	either				
62225	34:34.2	lead	swim	either				
62317	34:37.2	blue	lateral	display	(left)	either		
62413	34:40.4	lead	swim	either				
62533	34:44.4	quiver	at	female	either			
62607	34:46.9	attack	blue	(left)	either			
62859	34:55.3	lead	swim	either				
63019	35:00.6	lead	swim	either				
63085	35:02.8	quiver	at	female	either			
63229	35:07.6	attack	blue	(left)	either			
63425	35:14.2	lead	swim	either				
63523	35:17.4	quiver	at	female	either			
63585	35:19.5	attack	blue	(left)	either			
63861	35:28.7	quiver	at	female	either			
63945	35:31.5	attack	blue	(left)	either			
63985	35:32.8	blue	lateral	display	(left)	either		
64263	35:42.1	attack	blue	(left)	either			
64323	35:44.1	attack	blue	(left)	either			
64373	35:45.8	attack	female	either				
64957	36:05.2	attack	blue	(left)	either			
65165	36:12.2	pot	entry	either				
65227	36:14.2	pot	exit	either				
65317	36:17.2	quiver	at	female	either			
65425	36:20.8	quiver	at	female	either			
65585	36:26.2	lead	swim	either				
65641	36:28.0	quiver	at	female	either			
65847	36:34.9	pot	entry	either				
65899	36:36.6	pot	exit	either				
65941	36:38.0	pot	entry	either				
66161	36:45.4	pot	exit	either				
66207	36:46.9	blue	lateral	display	(left)	either		
66279	36:49.3	attack	blue	(left)	either			
66417	36:53.9	attack	blue	(left)	either			
66505	36:56.8	attack	blue	(left)	either			
66621	37:00.7	attack	blue	(left)	either			
66761	37:05.4	quiver	at	female	either			
66863	37:08.8	attack	blue	(left)	either			
67181	37:19.4	attack	blue	(left)	either			
67249	37:21.6	blue	lateral	display	(left)	either		
67431	37:27.7	attack	blue	(left)	either			
67489	37:29.6	attack	blue	(left)	either			
67587	37:32.9	blue	lateral	display	(left)	either		
67685	37:36.2	attack	blue	(left)	either			
67825	37:40.8	quiver	at	female	either			
67875	37:42.5	attack	blue	(left)	either			
68045	37:48.2	attack	blue	(left)	either			
68215	37:53.8	attack	blue	(left)	either			
68271	37:55.7	attack	blue	(left)	either			
68415	38:00.5	quiver	at	female	either			
68815	38:13.8	attack	blue	(left)	either			
68975	38:19.2	blue	lateral	display	(left)	either		
69193	38:26.4	blue	lateral	display	(left)	either		
69701	38:43.4	lead	swim	either				
69797	38:46.6	attack	blue	(left)	either			
69845	38:48.2	blue	lateral	display	(left)	either		
69887	38:49.6	attack	blue	(left)	either			
70093	38:56.4	attack	blue	(left)	either			
70123	38:57.4	attack	blue	(left)	either			
70365	39:05.5	lead	swim	either				
70467	39:08.9	lead	swim	either				
70567	39:12.2	pot	entry	either				
70615	39:13.8	lead	swim	either				
70617	39:13.9	pot	exit	either				
70653	39:15.1	pot	entry	either				
70703	39:16.8	pot	exit	either				
70735	39:17.8	lead	swim	either				
70791	39:19.7	lead	swim	either				
70819	39:20.6	attack	blue	(left)	either			
70897	39:23.2	lead	swim	either				
71011	39:27.0	attack	blue	(left)	either			
71027	39:27.6	attack	blue	(left)	either			
71111	39:30.4	lead	swim	either				
71155	39:31.8	lead	swim	either				
71263	39:35.4	lead	swim	either				
71391	39:39.7	attack	blue	(left)	either			
71455	39:41.8	quiver	at	female	either			
71615	39:47.2	attack	blue	(left)	either			
71663	39:48.8	attack	blue	(left)	either			
71761	39:52.0	attack	blue	(left)	either			
72031	40:01.0	pot	entry	either				
72217	40:07.2	pot	exit	either				
72291	40:09.7	yellow	lateral	display	(right)	either		
72343	40:11.4	attack	yellow	(right)	either			
72675	40:22.5	lead	swim	either				
72701	40:23.4	attack	female	either				
72749	40:25.0	blue	lateral	display	(left)	either		
72819	40:27.3	attack	blue	(left)	either			
72965	40:32.2	blue	lateral	display	(left)	either		
72989	40:33.0	attack	blue	(left)	either			
73043	40:34.8	blue	lateral	display	(left)	either		
73175	40:39.2	attack	blue	(left)	either			
73611	40:53.7	blue	lateral	display	(left)	either		
73817	41:00.6	attack	blue	(left)	either			
73973	41:05.8	lead	swim	either				
74041	41:08.0	lead	swim	either				
74109	41:10.3	attack	blue	(left)	either			
74175	41:12.5	attack	blue	(left)	either			
74217	41:13.9	attack	blue	(left)	either			
74289	41:16.3	blue	lateral	display	(left)	either		
74297	41:16.6	blue	lateral	display	(left)	either		
74375	41:19.2	chase	female	either				
74445	41:21.5	blue	lateral	display	(left)	either		
74561	41:25.4	attack	blue	(left)	either			
74613	41:27.1	blue	lateral	display	(left)	either		
74661	41:28.7	attack	blue	(left)	either			
74703	41:30.1	attack	blue	(left)	either			
74867	41:35.6	attack	blue	(left)	either			
74915	41:37.2	attack	blue	(left)	either			
74921	41:37.4	blue	lateral	display	(left)	either		
75007	41:40.2	attack	blue	(left)	either			
75071	41:42.4	attack	blue	(left)	either			
75179	41:46.0	attack	blue	(left)	either			
75291	41:49.7	attack	blue	(left)	either			
75525	41:57.5	attack	blue	(left)	either			
75735	42:04.5	blue	lateral	display	(left)	either		
75821	42:07.4	attack	blue	(left)	either			
75859	42:08.6	blue	lateral	display	(left)	either		
75933	42:11.1	attack	female	either				
76013	42:13.8	attack	blue	(left)	either			
76061	42:15.4	blue	lateral	display	(left)	either		
76115	42:17.2	attack	blue	(left)	either			
76281	42:22.7	quiver	at	female	either			
76399	42:26.6	blue	lateral	display	(left)	either		
76453	42:28.4	attack	blue	(left)	either			
76495	42:29.8	attack	blue	(left)	either			
76623	42:34.1	attack	blue	(left)	either			
76865	42:42.2	attack	blue	(left)	either			
77241	42:54.7	attack	blue	(left)	either			
77287	42:56.2	blue	lateral	display	(left)	either		
77313	42:57.1	attack	blue	(left)	either			
77373	42:59.1	blue	lateral	display	(left)	either		
77719	43:10.6	attack	blue	(left)	either			
78071	43:22.4	attack	blue	(left)	either			
78363	43:32.1	blue	lateral	display	(left)	either		
78465	43:35.5	attack	blue	(left)	either			
78783	43:46.1	blue	lateral	display	(left)	either		
78979	43:52.6	blue	lateral	display	(left)	either		
79185	43:59.5	blue	lateral	display	(left)	either		
79243	44:01.4	attack	blue	(left)	either			
79287	44:02.9	attack	blue	(left)	either			
79369	44:05.6	blue	lateral	display	(left)	either		
79523	44:10.8	pot	entry	either				
79671	44:15.7	pot	exit	either				
79721	44:17.4	attack	blue	(left)	either			
79755	44:18.5	blue	lateral	display	(left)	either		
79811	44:20.4	attack	blue	(left)	either			
79955	44:25.2	attack	blue	(left)	either			
80029	44:27.6	attack	blue	(left)	either			
80155	44:31.8	lead	swim	either				
80277	44:35.9	attack	blue	(left)	either			
80413	44:40.4	lead	swim	either				
80451	44:41.7	quiver	at	female	either			
80539	44:44.6	lead	swim	either				
80691	44:49.7	attack	blue	(left)	either			
80773	44:52.4	lead	swim	either				
80797	44:53.2	attack	blue	(left)	either			
81071	45:02.4	attack	blue	(left)	either			
81161	45:05.4	blue	lateral	display	(left)	either		
81263	45:08.8	blue	lateral	display	(left)	either		
81371	45:12.4	quiver	at	female	either			
81399	45:13.3	pot	entry	either				
81421	45:14.0	pot	exit	either				
81477	45:15.9	blue	lateral	display	(left)	either		
81855	45:28.5	blue	lateral	display	(left)	either		
82053	45:35.1	attack	blue	(left)	either			
82219	45:40.6	blue	lateral	display	(left)	either		
82379	45:46.0	blue	lateral	display	(left)	either		
82443	45:48.1	quiver	at	female	either			
82795	45:59.8	blue	lateral	display	(left)	either		
82939	46:04.6	lead	swim	either				
83015	46:07.2	attack	blue	(left)	either			
83085	46:09.5	blue	lateral	display	(left)	either		
83223	46:14.1	lead	swim	either				
83509	46:23.6	attack	female	either				
83587	46:26.2	chase	female	either				
84173	46:45.8	attack	female	either				
84273	46:49.1	blue	lateral	display	(left)	either		
84549	46:58.3	attack	blue	(left)	either			
84635	47:01.2	blue	lateral	display	(left)	either		
84709	47:03.6	attack	blue	(left)	either			
84987	47:12.9	attack	blue	(left)	either			
85397	47:26.6	blue	lateral	display	(left)	either		
85469	47:29.0	quiver	at	female	either			
85523	47:30.8	lead	swim	either				
85573	47:32.4	blue	lateral	display	(left)	either		
85649	47:35.0	blue	lateral	display	(left)	either		
85749	47:38.3	lead	swim	either				
85793	47:39.8	attack	blue	(left)	either			
85897	47:43.2	lead	swim	either				
86023	47:47.4	quiver	at	female	either			
86099	47:50.0	attack	blue	(left)	either			
86397	47:59.9	attack	blue	(left)	either			
86429	48:01.0	attack	blue	(left)	either			
86573	48:05.8	lead	swim	either				
86697	48:09.9	lead	swim	either				
86777	48:12.6	chase	female	either				
86997	48:19.9	attack	blue	(left)	either			
87479	48:36.0	lead	swim	either				
87535	48:37.8	attack	blue	(left)	either			
87575	48:39.2	blue	lateral	display	(left)	either		
87691	48:43.0	attack	blue	(left)	either			
87971	48:52.4	quiver	at	female	either			
88045	48:54.8	attack	blue	(left)	either			
88127	48:57.6	blue	lateral	display	(left)	either		
88219	49:00.6	attack	blue	(left)	either			
88369	49:05.6	attack	blue	(left)	either			
88399	49:06.6	blue	lateral	display	(left)	either		
88467	49:08.9	attack	blue	(left)	either			
88585	49:12.8	attack	blue	(left)	either			
89069	49:29.0	attack	blue	(left)	either			
89143	49:31.4	blue	lateral	display	(left)	either		
89249	49:35.0	blue	lateral	display	(left)	either		
89353	49:38.4	attack	blue	(left)	either			
89501	49:43.4	blue	lateral	display	(left)	either		
90373	50:12.4	attack	blue	(left)	either			
90467	50:15.6	blue	lateral	display	(left)	either		
90563	50:18.8	attack	female	either				
90623	50:20.8	blue	lateral	display	(left)	either		
90661	50:22.0	attack	blue	(left)	either			
90831	50:27.7	attack	female	either				
91301	50:43.4	blue	lateral	display	(left)	either		
91371	50:45.7	attack	blue	(left)	either			
91441	50:48.0	blue	lateral	display	(left)	either		
91545	50:51.5	attack	blue	(left)	either			
91647	50:54.9	attack	female	either				
91715	50:57.2	blue	lateral	display	(left)	either		
91875	51:02.5	blue	lateral	display	(left)	either		
92019	51:07.3	attack	blue	(left)	either			
92115	51:10.5	attack	female	either				
92175	51:12.5	lead	swim	either				
92219	51:14.0	attack	blue	(left)	either			
92259	51:15.3	blue	lateral	display	(left)	either		
92369	51:19.0	attack	blue	(left)	either			
92423	51:20.8	attack	blue	(left)	either			
92487	51:22.9	lead	swim	either				
92547	51:24.9	blue	lateral	display	(left)	either		
92921	51:37.4	blue	lateral	display	(left)	either		
93285	51:49.5	blue	lateral	display	(left)	either		
93349	51:51.6	attack	blue	(left)	either			
93387	51:52.9	blue	lateral	display	(left)	either		
